"t C","c_p","Mu","ro",lambda,Pr
-80,5085,0.00003458,295.8579882,0.088,1.998173864
-70,5696,0.00002884,263.7826431,0.078675,2.08799034
-50,6609,0.00001886,184.4337883,0.060025,2.076563765
-30,4697,0.00001492,127.5510204,0.04765,1.47070808
-10,3665,0.00001375,100.8471158,0.0442,1.14013009
10,3207,0.00001348,85.54319932,0.0441,0.980280272
30,2981,0.00001358,75.24454477,0.04495,0.900600222
50,2866,0.00001386,67.65899865,0.0465,0.854252903
70,2809,0.00001428,61.80469716,0.04875,0.822820923
90,2787,0.00001469,57.07762557,0.051,0.802765294
110,2789,0.00001509,53.13496281,0.05344,0.787537612
130,2808,0.00001554,49.77600796,0.05632,0.774792614
180,2900,0.00001658,43.21521175,0.06394,0.751986237
230,3034,0.00001767,38.32886163,0.07208,0.743767758
280,3194,0.000018775,34.51846738,0.08056,0.744381207
